[2026-03-16 17:34:52] [HỆ THỐNG] Server Java khởi động, kết nối MQTT thành công.
[2026-03-16 17:48:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:24] [NODE 2] Phát hiện có chuyển động trong phòng.
[2026-03-16 17:48:25] [NODE 2] Phát hiện có chuyển động trong phòng.
[2026-03-16 17:48:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:34] [NODE 2] Phát hiện có chuyển động trong phòng.
[2026-03-16 17:48:35] [NODE 2] Phát hiện có chuyển động trong phòng.
[2026-03-16 17:48:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:49:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:50:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:50:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:50:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:50:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:50:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:50:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:50:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:50:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:50:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:50:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 59.0%
[2026-03-16 17:50:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.3°C, Độ ẩm: 59.0%
[2026-03-16 17:50:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:51:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:51:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:51:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:51:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:51:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:51:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:51:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:51:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.4°C, Độ ẩm: 62.0%
[2026-03-16 17:51:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:51:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:51:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:51:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 59.0%
[2026-03-16 17:52:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 60.0%
[2026-03-16 17:52:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 60.0%
[2026-03-16 17:52:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 60.0%
[2026-03-16 17:52:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 60.0%
